Date:  14:26, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
18031  ,3.446e+002  ,-0.79717  ,9.9186  ,18.085  ,iso-1
18032  ,3.448e+002  ,-0.79717  ,9.9186  ,16.639  ,iso-1
18033  ,3.450e+002  ,-0.79717  ,9.9186  ,15.192  ,iso-1
18034  ,3.453e+002  ,-0.79717  ,9.9186  ,13.746  ,iso-1
18035  ,3.455e+002  ,-0.79717  ,9.9186  ,12.3  ,iso-1
18036  ,3.458e+002  ,-0.79717  ,9.9186  ,10.853  ,iso-1
18037  ,3.462e+002  ,-0.79717  ,9.9186  ,9.4069  ,iso-1
18038  ,3.466e+002  ,-0.79717  ,9.9186  ,7.9605  ,iso-1
18039  ,3.470e+002  ,-0.79717  ,9.9186  ,6.5141  ,iso-1
18040  ,3.476e+002  ,-0.79717  ,9.9186  ,5.0677  ,iso-1
18041  ,3.481e+002  ,-0.79717  ,9.9186  ,3.6214  ,iso-1
18042  ,3.488e+002  ,-0.79717  ,9.9186  ,2.175  ,iso-1
18043  ,3.496e+002  ,-0.79717  ,9.9186  ,0.72857  ,iso-1
18044  ,3.506e+002  ,-0.79717  ,9.9186  ,-0.71781  ,iso-1
18045  ,3.517e+002  ,-0.79717  ,9.9186  ,-2.1642  ,iso-1
18046  ,3.529e+002  ,-0.79717  ,9.9186  ,-3.6106  ,iso-1
18047  ,3.534e+002  ,-0.79717  ,9.9186  ,-5.057  ,iso-1
18048  ,3.529e+002  ,-0.79717  ,9.9186  ,-6.5034  ,iso-1
18049  ,3.517e+002  ,-0.79717  ,9.9186  ,-7.9498  ,iso-1
18050  ,3.506e+002  ,-0.79717  ,9.9186  ,-9.3961  ,iso-1
18051  ,3.496e+002  ,-0.79717  ,9.9186  ,-10.843  ,iso-1
18052  ,3.488e+002  ,-0.79717  ,9.9186  ,-12.289  ,iso-1
18053  ,3.481e+002  ,-0.79717  ,9.9186  ,-13.735  ,iso-1
18054  ,3.476e+002  ,-0.79717  ,9.9186  ,-15.182  ,iso-1
18055  ,3.470e+002  ,-0.79717  ,9.9186  ,-16.628  ,iso-1
18056  ,3.466e+002  ,-0.79717  ,9.9186  ,-18.074  ,iso-1
